timestamps,TP9,AF7,AF8,TP10,Right AUX
1732270586.062,119.141,808.105,167.480,3.418,0.000
1732270586.066,94.238,398.438,-135.254,-110.840,0.000
1732270586.070,166.992,350.098,6.836,78.613,0.000
1732270586.074,166.504,787.598,324.219,306.641,0.000
1732270586.078,173.340,-984.375,374.023,355.957,0.000
1732270586.082,150.879,736.816,110.840,119.629,0.000
1732270586.086,143.066,-120.605,-345.703,-9.766,0.000
1732270586.089,153.809,33.691,-55.664,137.695,0.000
1732270586.093,167.969,979.004,454.590,343.750,0.000
1732270586.097,184.570,992.676,348.633,444.336,0.000
1732270586.101,118.652,775.391,68.848,218.262,0.000
1732270586.105,75.684,517.090,-238.281,4.395,0.000
1732270586.109,100.586,667.480,-143.555,99.609,0.000
1732270586.113,123.535,932.129,190.430,339.355,0.000
1732270586.117,115.723,993.652,340.332,424.316,0.000
1732270586.121,62.988,872.070,93.262,207.520,0.000
1732270586.125,37.598,432.617,-336.914,-4.883,0.000
1732270586.129,81.055,257.324,-297.852,68.848,0.000
1732270586.132,119.141,600.586,100.586,305.176,0.000
1732270586.136,86.426,956.055,375.977,382.812,0.000
1732270586.140,47.363,-977.051,302.246,189.941,0.000
1732270586.144,61.035,445.801,-231.445,1.465,0.000
1732270586.148,79.590,-29.785,-362.793,15.137,0.000
1732270586.152,62.012,733.887,270.996,180.664,0.000
1732270586.156,60.547,-948.242,427.734,349.609,0.000
1732270586.160,12.695,817.383,166.016,231.934,0.000
1732270586.164,-81.543,574.707,-171.875,-39.062,0.000
1732270586.168,-88.867,497.070,-229.980,-62.988,0.000
1732270586.171,-43.945,799.805,148.438,187.012,0.000
1732270586.175,-14.160,767.090,272.949,365.234,0.000
1732270586.179,-54.199,656.738,156.738,246.582,0.000
1732270586.183,-148.438,615.234,-42.480,-30.273,0.000
1732270586.187,-179.688,362.793,-257.812,-94.238,0.000
1732270586.191,-186.523,663.086,26.367,141.113,0.000
1732270586.195,-197.754,946.777,320.312,345.215,0.000
1732270586.199,-196.289,-995.605,232.422,283.203,0.000
1732270586.203,-228.516,559.570,-247.559,55.176,0.000
1732270586.207,-247.070,52.246,-481.445,-56.641,0.000
1732270586.211,-285.156,490.723,-154.785,121.094,0.000
1732270586.214,-327.148,982.910,216.797,331.055,0.000
1732270586.218,-349.121,833.008,70.801,321.289,0.000
1732270586.222,-403.809,-73.730,-363.770,77.148,0.000
1732270586.226,-398.926,-463.379,-414.062,-125.977,0.000
1732270586.230,-339.844,217.773,-28.320,-24.902,0.000
1732270586.234,-255.371,723.145,272.949,200.684,0.000
1732270586.238,-198.242,796.875,233.398,245.117,0.000
1732270586.242,-217.773,436.523,-151.855,-14.648,0.000
1732270586.246,-205.078,41.016,-432.617,-208.008,0.000
1732270586.250,-131.348,141.602,-267.578,-45.898,0.000
1732270586.253,-84.961,629.395,90.332,181.152,0.000
1732270586.257,-116.699,-966.309,316.406,220.703,0.000
1732270586.261,-166.016,751.953,-52.246,2.930,0.000
1732270586.265,-189.941,-124.512,-505.859,-200.684,0.000
1732270586.269,-204.590,-180.664,-410.156,-107.910,0.000
1732270586.273,-181.641,683.594,50.781,127.930,0.000
1732270586.277,-111.328,-922.852,290.527,220.215,0.000
1732270586.281,-66.406,326.660,-158.203,40.527,0.000
1732270586.284,-82.031,-227.051,-420.410,-211.426,0.000
1732270586.288,-35.156,280.762,-36.133,-172.852,0.000
1732270586.293,29.297,649.414,282.715,106.934,0.000
1732270586.296,-29.297,738.281,333.008,227.051,0.000
1732270586.300,-104.980,680.664,148.926,20.020,0.000
1732270586.304,-132.324,347.656,-308.105,-214.355,0.000
1732270586.308,-91.797,36.621,-493.652,-164.551,0.000
1732270586.312,-66.406,109.863,-316.895,104.004,0.000
1732270586.316,-89.844,531.738,-135.254,238.770,0.000
1732270586.320,-107.910,495.117,-343.750,77.148,0.000
1732270586.324,-115.234,-235.352,-709.961,-154.785,0.000
1732270586.327,-89.844,-658.691,-728.027,-153.320,0.000
1732270586.331,-129.395,79.102,-420.410,41.016,0.000
1732270586.335,-154.297,782.715,-381.348,197.754,0.000
1732270586.340,-153.320,459.961,-564.941,106.934,0.000
1732270586.343,-177.246,-163.574,-743.164,-140.625,0.000
1732270586.347,-167.480,-312.988,-847.168,-191.895,0.000
1732270586.351,-92.773,-27.832,-770.996,73.730,0.000
1732270586.355,-90.820,238.281,-713.379,278.809,0.000
1732270586.359,-104.004,140.137,-755.371,188.965,0.000
1732270586.363,-59.082,-232.910,-811.035,-77.148,0.000
1732270586.367,35.645,-419.922,-812.012,-171.387,0.000
1732270586.371,208.008,-729.980,-796.387,93.750,0.000
1732270586.374,267.578,-313.477,-672.852,266.602,0.000
1732270586.378,226.562,600.098,-586.426,158.203,0.000
1732270586.382,216.309,176.758,-747.070,-50.781,0.000
1732270586.386,233.887,-492.676,-817.871,-133.789,0.000
1732270586.390,251.465,-173.340,-628.906,40.527,0.000
1732270586.394,270.508,562.988,-450.195,247.070,0.000
1732270586.398,258.789,692.871,-519.043,259.277,0.000
1732270586.402,209.473,202.637,-698.242,33.203,0.000
1732270586.406,146.484,-307.129,-763.672,-144.531,0.000
1732270586.410,110.352,-149.414,-598.145,-1.465,0.000
1732270586.414,164.062,379.883,-486.816,268.066,0.000
1732270586.417,187.988,405.273,-446.777,325.195,0.000
1732270586.421,154.297,500.000,-387.695,61.035,0.000
1732270586.425,150.391,313.477,-462.402,-114.746,0.000
1732270586.429,210.449,59.082,-386.719,46.387,0.000
1732270586.433,250.488,582.031,56.152,271.973,0.000
1732270586.437,233.398,-972.656,366.699,321.777,0.000
1732270586.441,186.035,892.578,213.867,112.793,0.000
1732270586.445,153.320,332.031,-106.934,-86.426,0.000
1732270586.449,179.199,218.262,41.504,-15.625,0.000
1732270586.453,227.051,674.316,342.285,226.562,0.000
1732270586.457,224.609,-945.801,390.625,320.801,0.000
1732270586.460,231.445,538.574,-52.734,147.949,0.000
1732270586.464,232.422,-169.434,-531.738,-100.098,0.000
1732270586.468,249.023,221.191,-353.027,-114.258,0.000
1732270586.472,292.969,764.160,-64.453,166.504,0.000
1732270586.476,272.461,982.422,-18.555,308.105,0.000
1732270586.480,221.680,908.203,-286.133,118.652,0.000
1732270586.484,153.809,605.957,-476.562,-133.301,0.000
1732270586.488,132.324,347.168,-489.258,-134.277,0.000
1732270586.492,143.555,591.797,-192.383,104.980,0.000
1732270586.496,120.605,985.840,249.023,250.977,0.000
1732270586.500,105.469,888.184,22.461,118.164,0.000
1732270586.503,78.613,265.625,-469.727,-104.004,0.000
1732270586.507,57.129,-328.613,-529.785,-134.277,0.000
1732270586.511,47.852,386.719,35.645,32.227,0.000
1732270586.515,75.684,-929.688,386.230,212.891,0.000
1732270586.519,98.145,845.703,121.582,174.316,0.000
1732270586.523,78.125,333.496,-336.426,-77.637,0.000
1732270586.527,81.543,101.074,-461.426,-199.219,0.000
1732270586.531,127.441,616.211,-27.344,17.090,0.000
1732270586.535,165.039,758.789,225.098,250.000,0.000
1732270586.539,124.512,659.180,124.023,178.711,0.000
1732270586.542,57.129,383.789,-265.137,-99.609,0.000
1732270586.546,58.594,-157.715,-604.492,-208.008,0.000
1732270586.550,138.184,-346.191,-558.105,23.438,0.000
1732270586.554,123.047,187.012,-343.750,220.215,0.000
1732270586.558,33.691,-950.684,-103.027,167.480,0.000
1732270586.562,44.434,653.320,-395.508,-33.691,0.000
